"No.","Time","Source","Destination","Protocol","Length","Info","RTT"
"2783","20.281332","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3186802 Ack=47355 Win=125184 Len=0","0.007893000"
"2786","20.402295","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3186802 Ack=48755 Win=125184 Len=0","0.009379000"
"2787","20.402295","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3186802 Ack=49596 Win=125184 Len=0","0.009379000"
"2792","20.467565","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=49596 Ack=3190573 Win=1052672 Len=0","0.000188000"
"2795","20.470433","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=49596 Ack=3190796 Win=1052416 Len=0","0.000097000"
"2797","20.478243","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3190796 Ack=49635 Win=125184 Len=0","0.007672000"
"2799","21.931783","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3190796 Ack=50633 Win=125184 Len=0","0.010197000"
"2801","21.952665","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3190796 Ack=50668 Win=125184 Len=0","0.011446000"
"2804","22.024596","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3190796 Ack=52068 Win=125184 Len=0","0.009493000"
"2805","22.024596","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3190796 Ack=52912 Win=125184 Len=0","0.009493000"
"2807","22.045652","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3190796 Ack=52947 Win=125184 Len=0","0.007859000"
"2809","24.123521","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3190796 Ack=53938 Win=125184 Len=0","0.009353000"
"2823","24.246810","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=53938 Ack=3206790 Win=1052672 Len=0","0.000269000"
"2836","24.283472","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=53938 Ack=3223506 Win=1052672 Len=0","0.000186000"
"2849","24.297987","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=53938 Ack=3240305 Win=1052672 Len=0","0.000204000"
"2861","24.312365","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=53938 Ack=3252855 Win=1052672 Len=0","0.000203000"
"2863","24.320408","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3252855 Ack=53977 Win=125184 Len=0","0.007891000"
"2867","24.771867","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3252855 Ack=55377 Win=125184 Len=0","0.009441000"
"2868","24.771867","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3252855 Ack=56777 Win=125184 Len=0","0.009441000"
"2869","24.771867","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3252855 Ack=56849 Win=125184 Len=0","0.009441000"
"2873","24.839357","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=56849 Ack=3253030 Win=1052416 Len=0","0.000155000"
"2875","24.847166","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3253030 Ack=56888 Win=125184 Len=0","0.007586000"
"2878","25.617307","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3253030 Ack=57872 Win=125184 Len=0","0.007623000"
"2879","25.619645","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3253030 Ack=58593 Win=125184 Len=0","0.008075000"
"2883","25.680720","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=58593 Ack=3253173 Win=1052416 Len=0","0.000171000"
"2887","25.682991","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=58632 Ack=3253277 Win=1052160 Len=0","0.000156000"
"2888","25.689219","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3253277 Ack=58632 Win=125184 Len=0","0.007996000"
"2890","26.045452","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3253277 Ack=59244 Win=125184 Len=0","0.008284000"
"2903","26.163711","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=59244 Ack=3268753 Win=1052672 Len=0","0.000239000"
"2918","26.211148","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=59244 Ack=3286224 Win=1052672 Len=0","0.000235000"
"2932","26.233057","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=59244 Ack=3303056 Win=1052672 Len=0","0.000162000"
"2944","26.247417","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=59244 Ack=3315662 Win=1052672 Len=0","0.000201000"
"2946","26.258286","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3315662 Ack=59283 Win=125184 Len=0","0.010664000"
"2957","26.555021","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3315662 Ack=60683 Win=125184 Len=0","0.010417000"
"2958","26.555021","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3315662 Ack=60710 Win=125184 Len=0","0.010417000"
"2959","26.555021","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3315662 Ack=62110 Win=125184 Len=0","0.010295000"
"2960","26.555250","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3315662 Ack=63510 Win=125184 Len=0","0.010524000"
"2961","26.555250","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3315662 Ack=63966 Win=125184 Len=0","0.010524000"
"2962","26.555250","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3315662 Ack=65366 Win=125184 Len=0","0.009038000"
"2963","26.555250","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3315662 Ack=65531 Win=125184 Len=0","0.009038000"
"2964","26.556556","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3315662 Ack=66931 Win=125184 Len=0","0.010247000"
"2965","26.556556","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3315662 Ack=68331 Win=125184 Len=0","0.010247000"
"2966","26.556556","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3315662 Ack=68541 Win=125184 Len=0","0.010247000"
"2969","26.643392","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3315662 Ack=69941 Win=128000 Len=0","0.011242000"
"2970","26.643392","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3315662 Ack=70758 Win=130816 Len=0","0.011242000"
"2984","26.763239","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=70758 Ack=3331806 Win=1052672 Len=0","0.000226000"
"2997","26.801013","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=70758 Ack=3348519 Win=1052672 Len=0","0.000510000"
"3010","26.824217","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=70758 Ack=3365227 Win=1052672 Len=0","0.000422000"
"3022","26.837169","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=70758 Ack=3377742 Win=1052672 Len=0","0.000190000"
"3024","26.859135","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3377742 Ack=70797 Win=130816 Len=0","0.021628000"
"3037","26.916878","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=70797 Ack=3393510 Win=1052672 Len=0","0.000251000"
"3051","26.920926","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=70797 Ack=3410436 Win=1052672 Len=0","0.000262000"
"3064","26.923838","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=70797 Ack=3427093 Win=1052672 Len=0","0.000274000"
"3077","26.928112","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=70797 Ack=3443397 Win=1052672 Len=0","0.000341000"
"3104","26.980321","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=70797 Ack=3477098 Win=1052672 Len=0","0.000488000"
"3128","26.987481","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=70797 Ack=3509298 Win=1052672 Len=0","0.000251000"
"3130","26.987679","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=70797 Ack=3510412 Win=1051648 Len=0","0.000053000"
"3142","26.992554","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=70797 Ack=3522020 Win=1052672 Len=0","0.000479000"
"3144","27.000408","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3522020 Ack=70836 Win=130816 Len=0","0.007453000"
"3169","27.201866","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=70836 Ack=3553425 Win=1052672 Len=0","0.000335000"
"3183","27.202593","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=70836 Ack=3571339 Win=1052672 Len=0","0.000224000"
"3196","27.204219","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=70836 Ack=3587643 Win=1052672 Len=0","0.000230000"
"3204","27.253993","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=70836 Ack=3592953 Win=1052672 Len=0","0.000179000"
"3206","27.262091","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3592953 Ack=70875 Win=130816 Len=0","0.007797000"
"3209","27.311718","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3592953 Ack=72275 Win=133632 Len=0","0.008201000"
"3210","27.311718","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3592953 Ack=72412 Win=136448 Len=0","0.008201000"
"3227","27.312836","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=72412 Ack=3612531 Win=1052672 Len=0","0.000240000"
"3229","27.336066","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3612531 Ack=72451 Win=136448 Len=0","0.022509000"
"3233","30.168195","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3612531 Ack=73851 Win=139264 Len=0","0.016544000"
"3234","30.168195","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3612531 Ack=75251 Win=142080 Len=0","0.016544000"
"3235","30.168195","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3612531 Ack=76586 Win=144896 Len=0","0.016544000"
"3239","30.225103","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=76586 Ack=3612674 Win=1052416 Len=0","0.000118000"
"3241","30.233479","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3612674 Ack=76625 Win=144896 Len=0","0.007901000"
"3244","31.575887","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3612674 Ack=78025 Win=147712 Len=0","0.008642000"
"3245","31.575887","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3612674 Ack=78272 Win=150528 Len=0","0.008642000"
"3247","31.576412","10.100.102.10","142.251.37.78","TLSv1.3","93","Application Data","0.000525000"
"3248","31.591387","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3612754 Ack=78311 Win=150528 Len=0","0.014975000"
"3252","33.004675","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3612754 Ack=79703 Win=153344 Len=0","0.007622000"
"3253","33.005490","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3612754 Ack=81103 Win=156160 Len=0","0.008342000"
"3254","33.005490","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3612754 Ack=81703 Win=158976 Len=0","0.008342000"
"3258","33.075137","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=81703 Ack=3612943 Win=1052160 Len=0","0.000083000"
"3260","33.084015","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3612943 Ack=81742 Win=158976 Len=0","0.008762000"
"3263","36.996621","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3612943 Ack=83142 Win=161792 Len=0","0.008095000"
"3264","36.996621","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3612943 Ack=83389 Win=164608 Len=0","0.008095000"
"3266","36.997105","10.100.102.10","142.251.37.78","TLSv1.3","93","Application Data","0.000484000"
"3267","37.010226","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3613022 Ack=83428 Win=164608 Len=0","0.013121000"
"3272","37.374021","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3613022 Ack=84088 Win=167424 Len=0","0.009191000"
"3273","37.374021","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3613022 Ack=85488 Win=170240 Len=0","0.009057000"
"3274","37.374366","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3613022 Ack=86888 Win=173056 Len=0","0.009402000"
"3275","37.374366","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3613022 Ack=86922 Win=173056 Len=0","0.009402000"
"3278","37.404813","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3613022 Ack=88322 Win=175872 Len=0","0.008455000"
"3279","37.404813","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3613022 Ack=89442 Win=178688 Len=0","0.008455000"
"3283","37.474619","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=89442 Ack=3613164 Win=1052160 Len=0","0.000115000"
"3285","37.482459","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3613164 Ack=89481 Win=178688 Len=0","0.007371000"
"3297","37.631273","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=89481 Ack=3627711 Win=1052672 Len=0","0.000272000"
"3299","37.631563","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=89481 Ack=3628924 Win=1051392 Len=0","0.000088000"
"3312","37.632447","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=89481 Ack=3643412 Win=1052672 Len=0","0.000195000"
"3314","37.633507","10.100.102.10","142.251.37.78","TLSv1.3","93","Application Data","0.000320000"
"3315","37.641901","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3643451 Ack=89520 Win=178688 Len=0","0.008394000"
"3317","43.107433","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3643451 Ack=89998 Win=181504 Len=0","0.010932000"
"3319","43.108169","10.100.102.10","142.251.37.78","TLSv1.3","93","Application Data","0.000736000"
"3320","43.120954","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3643530 Ack=90037 Win=181504 Len=0","0.012785000"
"3323","47.291439","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3643530 Ack=91437 Win=184320 Len=0","0.010218000"
"3324","47.291439","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3643530 Ack=92471 Win=187136 Len=0","0.010218000"
"3328","47.354900","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=92471 Ack=3643672 Win=1052416 Len=0","0.000197000"
"3330","47.365034","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3643672 Ack=92510 Win=187136 Len=0","0.009748000"
"3332","48.358880","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3643672 Ack=92988 Win=189952 Len=0","0.010296000"
"3334","48.359766","10.100.102.10","142.251.37.78","TLSv1.3","93","Application Data","0.000629000"
"3335","48.373259","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3643751 Ack=93027 Win=189952 Len=0","0.013493000"
"3338","57.291246","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3643751 Ack=94427 Win=192768 Len=0","0.011037000"
"3339","57.291246","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3643751 Ack=95461 Win=195584 Len=0","0.011037000"
"3343","57.368119","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=95461 Ack=3643893 Win=1052160 Len=0","0.000145000"
"3345","57.376508","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3643893 Ack=95500 Win=195584 Len=0","0.008000000"
"3347","72.129357","172.217.22.110","10.100.102.10","TCP","60","443  >  49299 [ACK] Seq=8420 Ack=1315 Win=65536 Len=0","0.010147000"
"3349","72.174574","10.100.102.10","172.217.22.110","TCP","54","49299  >  443 [ACK] Seq=1315 Ack=8459 Win=262912 Len=0","0.045217000"
"3354","80.497469","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3643893 Ack=96807 Win=198400 Len=0","0.009947000"
"3355","80.497469","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3643893 Ack=98207 Win=201216 Len=0","0.009809000"
"3356","80.497764","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3643893 Ack=99607 Win=204032 Len=0","0.010104000"
"3357","80.497764","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3643893 Ack=100035 Win=206848 Len=0","0.010104000"
"3363","80.517406","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3643893 Ack=101435 Win=209664 Len=0","0.008752000"
"3364","80.517406","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3643893 Ack=101509 Win=209664 Len=0","0.008752000"
"3365","80.517406","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3643893 Ack=102909 Win=212480 Len=0","0.008461000"
"3366","80.517828","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3643893 Ack=104309 Win=215296 Len=0","0.008883000"
"3367","80.517828","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3643893 Ack=104469 Win=218112 Len=0","0.008883000"
"3381","80.852677","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=104469 Ack=3659931 Win=1052672 Len=0","0.000264000"
"3394","80.859946","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=104469 Ack=3676588 Win=1052672 Len=0","0.000215000"
"3419","80.877180","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=104469 Ack=3709546 Win=1052672 Len=0","0.000408000"
"3432","80.919631","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=104469 Ack=3725305 Win=1052672 Len=0","0.000237000"
"3447","80.926131","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=104469 Ack=3743250 Win=1052672 Len=0","0.000222000"
"3472","80.941362","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=104469 Ack=3776564 Win=1052672 Len=0","0.000433000"
"3484","80.945518","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=104469 Ack=3788193 Win=1052672 Len=0","0.000353000"
"3486","80.954138","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3788193 Ack=104508 Win=218112 Len=0","0.008244000"
"3499","81.205632","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=104508 Ack=3803928 Win=1052672 Len=0","0.000392000"
"3513","81.210010","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=104508 Ack=3820857 Win=1052672 Len=0","0.000229000"
"3526","81.214764","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=104508 Ack=3837514 Win=1052672 Len=0","0.000307000"
"3539","81.218838","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=104508 Ack=3853815 Win=1052672 Len=0","0.000378000"
"3552","81.264683","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=104508 Ack=3868564 Win=1052672 Len=0","0.000253000"
"3555","81.265901","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=104508 Ack=3868634 Win=1052672 Len=0","0.000107000"
"3557","81.275855","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3868634 Ack=104547 Win=218112 Len=0","0.007778000"
"3562","81.404904","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3868634 Ack=105947 Win=220928 Len=0","0.008393000"
"3563","81.404904","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3868634 Ack=106699 Win=223744 Len=0","0.008393000"
"3564","81.405644","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3868634 Ack=108099 Win=226560 Len=0","0.007364000"
"3565","81.405644","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3868634 Ack=108684 Win=229376 Len=0","0.007364000"
"3570","81.469753","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=108684 Ack=3868859 Win=1052416 Len=0","0.000125000"
"3572","81.480106","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3868859 Ack=108723 Win=229376 Len=0","0.009923000"
"3575","82.801533","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3868859 Ack=110123 Win=232192 Len=0","0.010722000"
"3576","82.801533","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3868859 Ack=111224 Win=235008 Len=0","0.010722000"
"3580","82.865851","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=111224 Ack=3869001 Win=1052160 Len=0","0.000109000"
"3582","82.875793","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3869001 Ack=111263 Win=235008 Len=0","0.009566000"
"3584","84.176293","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3869001 Ack=112539 Win=237824 Len=0","0.007960000"
"3586","84.176672","10.100.102.10","142.251.37.78","TLSv1.3","93","Application Data","0.000379000"
"3587","84.190455","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3869080 Ack=112578 Win=237824 Len=0","0.013783000"
"3590","86.066334","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3869080 Ack=113978 Win=240640 Len=0","0.011046000"
"3591","86.066334","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3869080 Ack=114251 Win=243456 Len=0","0.011046000"
"3596","86.153448","10.100.102.10","142.251.37.78","TCP","66","49284  >  443 [ACK] Seq=114251 Ack=3869223 Win=1051904 Len=0 SLE=3869184 SRE=3869223","0.000123000"
"3598","86.161873","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3869223 Ack=114290 Win=243456 Len=0","0.008149000"
"3603","86.800728","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3869223 Ack=115690 Win=246272 Len=0","0.007982000"
"3604","86.800728","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3869223 Ack=116276 Win=249088 Len=0","0.007982000"
"3605","86.802201","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3869223 Ack=117676 Win=251904 Len=0","0.009312000"
"3606","86.802201","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3869223 Ack=118284 Win=254720 Len=0","0.009312000"
"3610","86.871308","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=118284 Ack=3869368 Win=1051904 Len=0","0.000141000"
"3612","86.879987","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3869368 Ack=118323 Win=254720 Len=0","0.008343000"
"3622","89.370629","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3869368 Ack=119509 Win=257536 Len=0","0.010578000"
"3623","89.370629","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3869368 Ack=120909 Win=260352 Len=0","0.010415000"
"3624","89.371246","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3869368 Ack=122309 Win=263168 Len=0","0.011032000"
"3625","89.371246","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3869368 Ack=122730 Win=265984 Len=0","0.011032000"
"3626","89.375926","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3869368 Ack=124130 Win=268800 Len=0","0.008385000"
"3627","89.375926","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3869368 Ack=124325 Win=271616 Len=0","0.008385000"
"3628","89.375926","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3869368 Ack=125725 Win=274432 Len=0","0.008219000"
"3629","89.376595","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3869368 Ack=127125 Win=277248 Len=0","0.008888000"
"3630","89.376595","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3869368 Ack=127286 Win=280064 Len=0","0.008888000"
"3644","89.543126","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=127538 Ack=3885134 Win=1052672 Len=0","0.000205000"
"3663","89.544340","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=127538 Ack=3908731 Win=1052672 Len=0","0.000235000"
"3665","89.544752","10.100.102.10","142.251.37.78","TLSv1.3","93","Application Data","0.000122000"
"3666","89.547113","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3908770 Ack=127538 Win=282880 Len=0","0.008131000"
"3668","89.561202","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3908833 Ack=127577 Win=282880 Len=0","0.016450000"
"3669","89.600812","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=127577 Ack=3908833 Win=1052672 Len=0","0.053699000"
"3676","90.082320","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3908833 Ack=128977 Win=285696 Len=0","0.010013000"
"3677","90.082320","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3908833 Ack=130377 Win=288512 Len=0","0.010013000"
"3678","90.082504","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3908833 Ack=130920 Win=291328 Len=0","0.010197000"
"3679","90.082504","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3908833 Ack=132320 Win=294144 Len=0","0.009069000"
"3680","90.083312","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3908833 Ack=133720 Win=296960 Len=0","0.009877000"
"3681","90.084137","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3908833 Ack=134388 Win=299776 Len=0","0.010702000"
"3686","90.146934","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=134388 Ack=3909049 Win=1052416 Len=0","0.000138000"
"3689","90.156237","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3909080 Ack=134427 Win=299776 Len=0","0.008967000"
