"No.","Time","Source","Destination","Protocol","Length","Info","RTT"
"1637","1.728447","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=4548 Ack=2023814 Win=1051904 Len=0","0.000112000"
"1641","1.728957","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=4548 Ack=2024122 Win=1051392 Len=0","0.000100000"
"1646","1.729906","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=4548 Ack=2026376 Win=1052672 Len=0","0.000139000"
"1652","1.733011","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=4548 Ack=2032141 Win=1052672 Len=0","0.000168000"
"1659","1.734661","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=4548 Ack=2039182 Win=1052672 Len=0","0.000174000"
"1663","1.735600","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=4548 Ack=2039284 Win=1052672 Len=0","0.000093000"
"1667","1.744268","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=2039284 Ack=4587 Win=88064 Len=0","0.008466000"
"1668","1.745691","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=2039284 Ack=5916 Win=90880 Len=0","0.008727000"
"1669","1.745691","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=2039284 Ack=6354 Win=93696 Len=0","0.008213000"
"1702","1.748123","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=6354 Ack=2078105 Win=1052672 Len=0","0.000454000"
"1736","1.749128","10.100.102.10","142.251.37.78","TLSv1.3","205","Application Data","0.000522000"
"1771","1.749960","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=6694 Ack=2163015 Win=1052672 Len=0","0.000385000"
"1805","1.750440","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=6694 Ack=2207421 Win=1052672 Len=0","0.000313000"
"1840","1.751757","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=6996 Ack=2251119 Win=1052672 Len=0","0.000423000"
"1873","1.752383","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=6996 Ack=2295919 Win=1052672 Len=0","0.000452000"
"1906","1.753349","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=6996 Ack=2340719 Win=1052672 Len=0","0.000354000"
"1939","1.753921","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=6996 Ack=2385519 Win=1052672 Len=0","0.000386000"
"1972","1.754484","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=6996 Ack=2430319 Win=1052672 Len=0","0.000397000"
"2005","1.755294","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=6996 Ack=2475119 Win=1052672 Len=0","0.000555000"
"2038","1.756945","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=6996 Ack=2519919 Win=1052672 Len=0","0.000680000"
"2071","1.758113","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=6996 Ack=2564719 Win=1052672 Len=0","0.000636000"
"2104","1.760071","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=6996 Ack=2609519 Win=1052672 Len=0","0.000558000"
"2137","1.760791","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=6996 Ack=2654319 Win=1052672 Len=0","0.000486000"
"2170","1.761676","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=6996 Ack=2699119 Win=1052672 Len=0","0.000438000"
"2203","1.762440","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=6996 Ack=2743919 Win=1052672 Len=0","0.000492000"
"2236","1.763396","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=6996 Ack=2788719 Win=1052672 Len=0","0.000511000"
"2246","1.763595","142.251.37.78","10.100.102.10","TCP","1454","443  >  49284 [ACK] Seq=2801319 Ack=6504 Win=96256 Len=1400 [TCP segment of a reassembled PDU]","0.015460000"
"2266","1.764039","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=6996 Ack=2829319 Win=1052672 Len=0","0.000444000"
"2288","1.765397","142.251.37.78","10.100.102.10","TCP","1454","443  >  49284 [ACK] Seq=2857319 Ack=6655 Win=98816 Len=1400 [TCP segment of a reassembled PDU]","0.016269000"
"2294","1.765397","142.251.37.78","10.100.102.10","TCP","1454","443  >  49284 [ACK] Seq=2865719 Ack=6694 Win=98816 Len=1400 [TCP segment of a reassembled PDU]","0.015945000"
"2299","1.765823","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=6996 Ack=2872719 Win=1052672 Len=0","0.000426000"
"2323","1.766011","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=2900972 Ack=6996 Win=104192 Len=0","0.015004000"
"2332","1.766457","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=6996 Ack=2908696 Win=1052672 Len=0","0.000446000"
"2355","1.766886","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=6996 Ack=2936562 Win=1052672 Len=0","0.000264000"
"2357","1.783339","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=2936562 Ack=7035 Win=104192 Len=0","0.016377000"
"2360","1.793562","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=2936562 Ack=7184 Win=106752 Len=0","0.009717000"
"2361","1.793562","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=2936562 Ack=7322 Win=109568 Len=0","0.008845000"
"2392","1.794083","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=7322 Ack=2973801 Win=1052672 Len=0","0.000521000"
"2395","1.794374","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=7322 Ack=2976601 Win=1052672 Len=0","0.000084000"
"2428","1.796399","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=7322 Ack=3017702 Win=1052672 Len=0","0.000595000"
"2431","1.813933","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3018747 Ack=7361 Win=109568 Len=0","0.017338000"
"2432","1.850747","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=7361 Ack=3018747 Win=1051648 Len=0","0.051579000"
"2436","3.491889","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3018747 Ack=7630 Win=112128 Len=0","0.010534000"
"2437","3.493110","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3018747 Ack=7762 Win=114944 Len=0","0.007368000"
"2439","3.494218","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3018747 Ack=7891 Win=117504 Len=0","0.008143000"
"2440","3.501143","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3018747 Ack=8022 Win=120064 Len=0","0.007826000"
"2471","3.627498","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=8022 Ack=3046273 Win=1052672 Len=0","0.001032000"
"2473","3.636387","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3046273 Ack=8061 Win=120064 Len=0","0.008212000"
"2476","3.670707","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3046273 Ack=8235 Win=122880 Len=0","0.008593000"
"2477","3.670707","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3046273 Ack=8371 Win=125184 Len=0","0.007912000"
"2484","3.676855","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=8371 Ack=3049581 Win=1052672 Len=0","0.000282000"
"2486","3.690940","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3049581 Ack=8410 Win=125184 Len=0","0.012892000"
"2488","4.379171","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3049581 Ack=9072 Win=125184 Len=0","0.010869000"
"2490","4.542044","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3049581 Ack=10403 Win=125184 Len=0","0.009647000"
"2494","4.554804","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=10403 Ack=3051139 Win=1052672 Len=0","0.000147000"
"2497","4.555678","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=10403 Ack=3051209 Win=1052672 Len=0","0.000120000"
"2499","4.570011","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3051209 Ack=10442 Win=125184 Len=0","0.014200000"
"2507","4.625939","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=10442 Ack=3055099 Win=1052672 Len=0","0.000362000"
"2509","4.635432","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3055099 Ack=10481 Win=125184 Len=0","0.008500000"
"2516","4.840282","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3055099 Ack=11481 Win=125184 Len=0","0.008622000"
"2517","4.840282","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3055099 Ack=12881 Win=125184 Len=0","0.008508000"
"2518","4.840282","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3055099 Ack=14152 Win=125184 Len=0","0.008508000"
"2519","4.841786","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3055099 Ack=14861 Win=125184 Len=0","0.009539000"
"2520","4.841786","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3055099 Ack=16261 Win=125184 Len=0","0.009439000"
"2521","4.841786","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3055099 Ack=17511 Win=125184 Len=0","0.009439000"
"2534","4.917306","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=17511 Ack=3070883 Win=1052672 Len=0","0.000182000"
"2539","4.918398","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=17511 Ack=3072449 Win=1052672 Len=0","0.000102000"
"2541","4.925967","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3072449 Ack=17550 Win=125184 Len=0","0.007387000"
"2555","4.965167","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=17550 Ack=3086184 Win=1052672 Len=0","0.000239000"
"2557","4.978039","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3086184 Ack=17589 Win=125184 Len=0","0.012346000"
"2560","7.343688","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3086184 Ack=18989 Win=125184 Len=0","0.010608000"
"2561","7.343688","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3086184 Ack=19475 Win=125184 Len=0","0.010608000"
"2568","7.424675","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=19475 Ack=3088536 Win=1052672 Len=0","0.000191000"
"2570","7.436872","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3088536 Ack=19514 Win=125184 Len=0","0.011442000"
"2573","7.468306","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3088536 Ack=20469 Win=125184 Len=0","0.007947000"
"2574","7.468306","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3088536 Ack=21005 Win=125184 Len=0","0.007781000"
"2579","7.985652","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=21005 Ack=3089989 Win=1052672 Len=0","0.000155000"
